plik,emocja_prawdziwa,emocja_predykcja,zgodność,prawd_emocji_prawidłowej_%,angry_%,disgust_%,fear_%,happy_%,sad_%,surprise_%,neutral_%
FER2013/test\happy\PrivateTest_5514183.jpg,happy,neutral,NIE,0.07,0.07,0.0,0.03,0.07,9.26,0.01,90.56
FER2013/test\happy\PublicTest_79601118.jpg,happy,happy,TAK,99.52,0.0,0.0,0.13,99.52,0.16,0.0,0.18
FER2013/test\happy\PublicTest_49478900.jpg,happy,happy,TAK,99.09,0.0,0.0,0.01,99.09,0.03,0.76,0.12
FER2013/test\happy\PublicTest_24420477.jpg,happy,happy,TAK,97.86,0.0,0.0,2.09,97.86,0.0,0.0,0.04
FER2013/test\happy\PrivateTest_34067979.jpg,happy,happy,TAK,99.98,0.0,0.0,0.02,99.98,0.0,0.0,0.0
FER2013/test\happy\PublicTest_12595220.jpg,happy,angry,NIE,1.06,67.82,0.0,1.52,1.06,21.21,0.02,8.36
FER2013/test\happy\PrivateTest_39183439.jpg,happy,happy,TAK,96.9,0.04,0.0,0.03,96.9,0.0,0.06,2.96
FER2013/test\happy\PrivateTest_10736786.jpg,happy,happy,TAK,99.83,0.01,0.0,0.02,99.83,0.0,0.05,0.1
FER2013/test\happy\PrivateTest_97057757.jpg,happy,happy,TAK,99.76,0.0,0.0,0.0,99.76,0.0,0.0,0.24
FER2013/test\happy\PublicTest_7387516.jpg,happy,happy,TAK,99.32,0.0,0.0,0.0,99.32,0.0,0.0,0.68
FER2013/test\happy\PrivateTest_35095016.jpg,happy,happy,TAK,99.97,0.0,0.0,0.0,99.97,0.0,0.0,0.03
FER2013/test\happy\PrivateTest_65088855.jpg,happy,happy,TAK,80.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
FER2013/test\happy\PrivateTest_30199869.jpg,happy,neutral,NIE,33.96,0.44,0.01,5.11,33.96,12.6,0.53,47.35
FER2013/test\happy\PublicTest_98860460.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_13156241.jpg,happy,sad,NIE,0.0,0.02,0.0,0.0,0.0,99.97,0.0,0.01
FER2013/test\happy\PrivateTest_1735299.jpg,happy,happy,TAK,99.68,0.0,0.0,0.0,99.68,0.0,0.0,0.32
FER2013/test\happy\PrivateTest_57687605.jpg,happy,happy,TAK,97.46,0.0,0.0,0.14,97.46,0.0,2.18,0.23
FER2013/test\happy\PrivateTest_70736214.jpg,happy,angry,NIE,8.91,90.6,0.0,0.47,8.91,0.02,0.0,0.0
FER2013/test\happy\PrivateTest_62939761.jpg,happy,happy,TAK,98.87,0.0,0.0,0.01,98.87,0.01,0.0,1.11
FER2013/test\happy\PrivateTest_71397764.jpg,happy,neutral,NIE,20.66,2.7,0.0,1.26,20.66,0.41,0.57,74.41
FER2013/test\happy\PrivateTest_25371657.jpg,happy,neutral,NIE,0.0,0.0,0.0,18.52,0.0,21.68,0.0,59.8
FER2013/test\happy\PublicTest_64717014.jpg,happy,angry,NIE,0.38,99.6,0.0,0.0,0.38,0.01,0.0,0.0
FER2013/test\happy\PrivateTest_59812270.jpg,happy,happy,TAK,92.73,0.0,0.0,0.0,92.73,0.0,0.0,7.27
FER2013/test\happy\PublicTest_92799343.jpg,happy,happy,TAK,99.27,0.0,0.0,0.0,99.27,0.0,0.0,0.72
FER2013/test\happy\PrivateTest_32394750.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_4325988.jpg,happy,happy,TAK,87.13,0.0,0.0,9.84,87.13,1.98,0.01,1.04
FER2013/test\happy\PublicTest_23479421.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_9795756.jpg,happy,happy,TAK,62.64,0.11,0.0,2.16,62.64,0.01,35.07,0.02
FER2013/test\happy\PublicTest_42659166.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_73864122.jpg,happy,happy,TAK,97.54,0.06,0.0,2.22,97.54,0.03,0.08,0.05
FER2013/test\happy\PublicTest_69207826.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PrivateTest_32973527.jpg,happy,sad,NIE,5.87,4.63,0.0,19.11,5.87,39.55,0.02,30.82
FER2013/test\happy\PrivateTest_87502081.jpg,happy,happy,TAK,99.75,0.0,0.0,0.0,99.75,0.0,0.0,0.25
FER2013/test\happy\PublicTest_82930379.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_37761517.jpg,happy,happy,TAK,99.95,0.0,0.0,0.0,99.95,0.0,0.0,0.05
FER2013/test\happy\PublicTest_6945961.jpg,happy,happy,TAK,93.83,0.0,0.0,0.0,93.83,0.0,0.0,6.17
FER2013/test\happy\PrivateTest_25072457.jpg,happy,happy,TAK,99.29,0.12,0.0,0.5,99.29,0.09,0.0,0.0
FER2013/test\happy\PublicTest_32407283.jpg,happy,happy,TAK,94.56,0.3,0.0,5.09,94.56,0.03,0.02,0.0
FER2013/test\happy\PrivateTest_48567381.jpg,happy,angry,NIE,0.01,99.99,0.0,0.0,0.01,0.0,0.0,0.0
FER2013/test\happy\PublicTest_19874720.jpg,happy,happy,TAK,93.86,0.26,0.21,0.02,93.86,1.45,0.0,4.19
FER2013/test\happy\PublicTest_65732845.jpg,happy,happy,TAK,99.41,0.0,0.0,0.0,99.41,0.0,0.0,0.59
FER2013/test\happy\PublicTest_61776443.jpg,happy,sad,NIE,0.1,0.2,0.0,0.68,0.1,98.71,0.0,0.32
FER2013/test\happy\PrivateTest_79769840.jpg,happy,happy,TAK,76.05,22.3,0.01,0.24,76.05,0.29,0.02,1.09
FER2013/test\happy\PublicTest_73693458.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_93745195.jpg,happy,happy,TAK,99.83,0.0,0.0,0.0,99.83,0.01,0.0,0.16
FER2013/test\happy\PrivateTest_45699463.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_32862356.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_12481108.jpg,happy,happy,TAK,97.79,0.0,0.0,1.14,97.79,0.01,0.98,0.09
FER2013/test\happy\PublicTest_34451492.jpg,happy,happy,TAK,63.17,0.01,0.01,0.07,63.17,36.61,0.0,0.13
FER2013/test\happy\PublicTest_29663397.jpg,happy,surprise,NIE,0.9,0.0,0.0,3.59,0.9,0.03,88.85,6.62
FER2013/test\happy\PrivateTest_21515821.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_58131759.jpg,happy,happy,TAK,98.28,0.0,0.0,0.0,98.28,0.01,0.0,1.71
FER2013/test\happy\PublicTest_38805151.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_72875857.jpg,happy,happy,TAK,99.51,0.11,0.0,0.3,99.51,0.01,0.0,0.07
FER2013/test\happy\PublicTest_52731318.jpg,happy,happy,TAK,85.79,0.0,0.0,6.55,85.79,0.41,0.0,7.25
FER2013/test\happy\PrivateTest_97788217.jpg,happy,happy,TAK,99.75,0.0,0.0,0.25,99.75,0.0,0.0,0.0
FER2013/test\happy\PublicTest_55742864.jpg,happy,happy,TAK,99.83,0.03,0.0,0.09,99.83,0.01,0.02,0.03
FER2013/test\happy\PublicTest_46791931.jpg,happy,happy,TAK,97.43,0.12,0.04,0.29,97.43,1.52,0.0,0.61
FER2013/test\happy\PublicTest_45715095.jpg,happy,happy,TAK,72.45,0.0,0.0,0.0,72.45,0.04,0.01,27.51
FER2013/test\happy\PublicTest_58933255.jpg,happy,happy,TAK,58.74,7.68,0.14,30.46,58.74,0.1,1.39,1.49
FER2013/test\happy\PrivateTest_83651711.jpg,happy,happy,TAK,60.94,0.0,0.0,0.0,60.94,0.0,39.06,0.0
FER2013/test\happy\PublicTest_19463650.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_58922460.jpg,happy,surprise,NIE,0.0,0.77,0.0,7.58,0.0,0.03,91.6,0.01
FER2013/test\happy\PrivateTest_74227374.jpg,happy,neutral,NIE,1.06,0.0,0.0,0.0,1.06,0.04,0.0,98.9
FER2013/test\happy\PrivateTest_36802733.jpg,happy,happy,TAK,99.9,0.0,0.0,0.0,99.9,0.0,0.0,0.1
FER2013/test\happy\PrivateTest_87605200.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_52811908.jpg,happy,happy,TAK,87.9,6.0,0.0,3.12,87.9,0.01,1.85,1.13
FER2013/test\happy\PublicTest_41592701.jpg,happy,neutral,NIE,0.0,0.0,0.0,0.0,0.0,1.04,0.0,98.96
FER2013/test\happy\PublicTest_16609356.jpg,happy,happy,TAK,97.7,0.0,0.0,0.0,97.7,0.01,0.02,2.27
FER2013/test\happy\PublicTest_8573713.jpg,happy,happy,TAK,98.34,0.0,0.0,0.1,98.34,0.02,0.01,1.53
FER2013/test\happy\PrivateTest_59350303.jpg,happy,fear,NIE,0.19,0.0,0.0,95.47,0.19,0.0,4.34,0.0
FER2013/test\happy\PublicTest_66233719.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_20710948.jpg,happy,neutral,NIE,0.88,0.77,0.0,0.04,0.88,1.19,0.24,96.88
FER2013/test\happy\PublicTest_82875599.jpg,happy,neutral,NIE,3.96,2.54,0.0,0.17,3.96,21.58,0.89,70.86
FER2013/test\happy\PrivateTest_74364378.jpg,happy,neutral,NIE,0.06,20.82,0.0,0.35,0.06,16.9,0.0,61.87
FER2013/test\happy\PublicTest_12989085.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_36248019.jpg,happy,happy,TAK,89.34,0.0,0.0,0.0,89.34,0.0,0.0,10.66
FER2013/test\happy\PrivateTest_68107210.jpg,happy,happy,TAK,81.43,0.0,0.0,0.17,81.43,18.39,0.0,0.0
FER2013/test\happy\PublicTest_53850550.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PublicTest_77414793.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_71477394.jpg,happy,fear,NIE,9.21,14.13,0.67,53.97,9.21,21.51,0.14,0.36
FER2013/test\happy\PrivateTest_86799610.jpg,happy,happy,TAK,98.33,0.0,0.0,0.0,98.33,0.0,0.0,1.66
FER2013/test\happy\PrivateTest_35073896.jpg,happy,happy,TAK,99.76,0.0,0.0,0.0,99.76,0.0,0.0,0.24
FER2013/test\happy\PublicTest_87513106.jpg,happy,happy,TAK,99.67,0.01,0.0,0.06,99.67,0.01,0.2,0.04
FER2013/test\happy\PrivateTest_2352334.jpg,happy,happy,TAK,99.31,0.0,0.0,0.0,99.31,0.0,0.0,0.69
FER2013/test\happy\PrivateTest_27226756.jpg,happy,happy,TAK,99.94,0.0,0.0,0.0,99.94,0.0,0.0,0.06
FER2013/test\happy\PrivateTest_93033434.jpg,happy,neutral,NIE,37.56,0.09,0.0,0.11,37.56,0.3,0.0,61.94
FER2013/test\happy\PrivateTest_89236972.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PublicTest_30400469.jpg,happy,happy,TAK,38.6,0.86,0.02,16.73,38.6,6.04,0.4,37.36
FER2013/test\happy\PublicTest_44694203.jpg,happy,happy,TAK,99.94,0.0,0.0,0.0,99.94,0.0,0.0,0.06
FER2013/test\happy\PublicTest_23906574.jpg,happy,happy,TAK,99.81,0.0,0.0,0.0,99.81,0.05,0.0,0.14
FER2013/test\happy\PublicTest_51659203.jpg,happy,happy,TAK,57.24,0.32,0.0,17.34,57.24,1.7,0.55,22.83
FER2013/test\happy\PublicTest_78110412.jpg,happy,happy,TAK,98.12,0.0,0.0,0.05,98.12,0.07,0.0,1.75
FER2013/test\happy\PublicTest_18357588.jpg,happy,happy,TAK,97.62,0.01,0.0,1.59,97.62,0.22,0.02,0.53
FER2013/test\happy\PublicTest_27560971.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_24489785.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_15603414.jpg,happy,happy,TAK,99.16,0.0,0.0,0.0,99.16,0.0,0.0,0.84
FER2013/test\happy\PublicTest_57534121.jpg,happy,happy,TAK,99.43,0.0,0.0,0.0,99.43,0.0,0.0,0.57
FER2013/test\happy\PrivateTest_89422372.jpg,happy,sad,NIE,24.08,17.85,1.78,6.79,24.08,43.55,0.11,5.84
FER2013/test\happy\PublicTest_74706037.jpg,happy,happy,TAK,99.09,0.0,0.0,0.0,99.09,0.0,0.0,0.9
FER2013/test\happy\PrivateTest_40374609.jpg,happy,happy,TAK,99.97,0.0,0.0,0.0,99.97,0.0,0.02,0.01
FER2013/test\happy\PublicTest_27915686.jpg,happy,happy,TAK,99.8,0.0,0.0,0.0,99.8,0.02,0.0,0.18
FER2013/test\happy\PrivateTest_27403434.jpg,happy,happy,TAK,99.97,0.0,0.0,0.0,99.97,0.0,0.0,0.03
FER2013/test\happy\PrivateTest_35452818.jpg,happy,happy,TAK,99.87,0.0,0.0,0.0,99.87,0.0,0.0,0.13
FER2013/test\happy\PublicTest_44803062.jpg,happy,happy,TAK,98.15,0.0,0.0,0.0,98.15,0.0,0.0,1.84
FER2013/test\happy\PrivateTest_80856406.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_76810954.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_4754356.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_41686494.jpg,happy,happy,TAK,99.7,0.0,0.0,0.0,99.7,0.0,0.0,0.3
FER2013/test\happy\PrivateTest_41502047.jpg,happy,happy,TAK,98.64,0.0,0.0,0.03,98.64,0.01,0.02,1.29
FER2013/test\happy\PublicTest_37717440.jpg,happy,fear,NIE,0.0,0.0,0.0,99.99,0.0,0.01,0.0,0.0
FER2013/test\happy\PrivateTest_29833448.jpg,happy,happy,TAK,95.23,0.0,0.0,0.0,95.23,0.0,0.19,4.59
FER2013/test\happy\PrivateTest_4014756.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PublicTest_77964955.jpg,happy,happy,TAK,74.53,9.63,0.0,3.38,74.53,12.17,0.04,0.25
FER2013/test\happy\PrivateTest_26861770.jpg,happy,happy,TAK,99.85,0.0,0.0,0.07,99.85,0.0,0.02,0.06
FER2013/test\happy\PrivateTest_6876358.jpg,happy,happy,TAK,99.77,0.0,0.0,0.0,99.77,0.0,0.0,0.23
FER2013/test\happy\PrivateTest_22024521.jpg,happy,angry,NIE,11.93,45.44,0.0,0.02,11.93,0.71,0.0,41.9
FER2013/test\happy\PrivateTest_38033391.jpg,happy,happy,TAK,99.9,0.0,0.0,0.0,99.9,0.0,0.02,0.08
FER2013/test\happy\PublicTest_1278010.jpg,happy,happy,TAK,67.16,0.02,0.0,31.73,67.16,0.46,0.01,0.61
FER2013/test\happy\PublicTest_28340669.jpg,happy,happy,TAK,97.43,0.68,0.0,0.17,97.43,0.2,0.01,1.52
FER2013/test\happy\PrivateTest_1533232.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PrivateTest_11288161.jpg,happy,fear,NIE,0.12,24.41,6.72,50.88,0.12,10.87,0.85,6.14
FER2013/test\happy\PrivateTest_92490072.jpg,happy,happy,TAK,99.9,0.03,0.0,0.02,99.9,0.01,0.0,0.04
FER2013/test\happy\PublicTest_48364789.jpg,happy,angry,NIE,0.3,43.9,0.01,42.77,0.3,7.93,0.01,5.1
FER2013/test\happy\PrivateTest_41001463.jpg,happy,happy,TAK,99.65,0.0,0.0,0.0,99.65,0.0,0.02,0.33
FER2013/test\happy\PublicTest_30005286.jpg,happy,sad,NIE,0.07,1.41,0.02,24.01,0.07,72.46,0.07,1.95
FER2013/test\happy\PublicTest_78408507.jpg,happy,happy,TAK,77.76,0.63,0.1,0.29,77.76,0.59,0.0,20.63
FER2013/test\happy\PublicTest_13346348.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_96402798.jpg,happy,happy,TAK,99.26,0.39,0.0,0.0,99.26,0.02,0.0,0.33
FER2013/test\happy\PrivateTest_62709406.jpg,happy,fear,NIE,0.0,12.93,0.0,87.07,0.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_70825824.jpg,happy,surprise,NIE,2.17,0.14,0.0,19.52,2.17,0.01,77.71,0.45
FER2013/test\happy\PrivateTest_23344981.jpg,happy,fear,NIE,0.85,0.15,0.0,71.74,0.85,27.18,0.0,0.09
FER2013/test\happy\PrivateTest_43353931.jpg,happy,happy,TAK,97.73,0.14,0.01,0.08,97.73,1.96,0.07,0.02
FER2013/test\happy\PublicTest_77857288.jpg,happy,happy,TAK,85.98,0.01,0.0,11.71,85.98,1.04,0.04,1.21
FER2013/test\happy\PublicTest_45517414.jpg,happy,happy,TAK,95.24,0.0,0.0,0.0,95.24,0.0,0.0,4.76
FER2013/test\happy\PrivateTest_62399551.jpg,happy,happy,TAK,98.17,0.0,0.0,0.0,98.17,0.01,0.0,1.82
FER2013/test\happy\PublicTest_80906126.jpg,happy,happy,TAK,95.65,0.08,0.0,0.0,95.65,0.0,0.0,4.26
FER2013/test\happy\PrivateTest_3524293.jpg,happy,happy,TAK,99.58,0.0,0.0,0.0,99.58,0.0,0.0,0.42
FER2013/test\happy\PublicTest_454273.jpg,happy,surprise,NIE,0.0,0.06,0.0,10.19,0.0,0.0,89.73,0.02
FER2013/test\happy\PrivateTest_46665621.jpg,happy,neutral,NIE,0.57,35.99,0.0,3.62,0.57,5.99,0.0,53.83
FER2013/test\happy\PrivateTest_28726237.jpg,happy,neutral,NIE,48.61,0.0,0.0,0.0,48.61,0.01,0.0,51.38
FER2013/test\happy\PrivateTest_63176014.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PrivateTest_556985.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_7040657.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.01,0.0
FER2013/test\happy\PrivateTest_25055299.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_33340944.jpg,happy,happy,TAK,90.49,1.44,0.02,0.36,90.49,0.29,2.5,4.9
FER2013/test\happy\PublicTest_77271061.jpg,happy,happy,TAK,99.28,0.01,0.0,0.02,99.28,0.01,0.11,0.57
FER2013/test\happy\PublicTest_81354018.jpg,happy,neutral,NIE,0.64,9.32,0.0,12.49,0.64,7.9,5.4,64.26
FER2013/test\happy\PublicTest_37503906.jpg,happy,happy,TAK,77.21,0.0,0.0,0.01,77.21,0.02,0.0,22.76
FER2013/test\happy\PrivateTest_25055249.jpg,happy,happy,TAK,89.51,1.28,0.01,8.04,89.51,0.94,0.05,0.16
FER2013/test\happy\PrivateTest_36350577.jpg,happy,surprise,NIE,0.25,0.24,0.0,9.0,0.25,0.01,90.19,0.31
FER2013/test\happy\PrivateTest_8036657.jpg,happy,happy,TAK,52.48,2.96,0.0,0.13,52.48,3.62,0.58,40.22
FER2013/test\happy\PublicTest_64608623.jpg,happy,happy,TAK,97.0,0.0,0.0,0.0,97.0,0.0,0.0,3.0
FER2013/test\happy\PrivateTest_64921675.jpg,happy,happy,TAK,99.28,0.01,0.0,0.0,99.28,0.49,0.0,0.21
FER2013/test\happy\PublicTest_92106280.jpg,happy,happy,TAK,94.67,0.06,0.0,0.03,94.67,2.76,0.0,2.48
FER2013/test\happy\PrivateTest_54555933.jpg,happy,happy,TAK,86.22,0.02,0.0,0.0,86.22,0.07,0.0,13.68
FER2013/test\happy\PrivateTest_38746011.jpg,happy,happy,TAK,96.19,0.44,0.0,0.02,96.19,0.1,0.0,3.24
FER2013/test\happy\PrivateTest_99128502.jpg,happy,happy,TAK,99.83,0.0,0.0,0.0,99.83,0.0,0.0,0.17
FER2013/test\happy\PrivateTest_94181840.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PublicTest_5212595.jpg,happy,happy,TAK,92.9,0.0,0.0,0.0,92.9,0.0,0.0,7.1
FER2013/test\happy\PublicTest_19059765.jpg,happy,happy,TAK,99.61,0.02,0.0,0.26,99.61,0.05,0.06,0.0
FER2013/test\happy\PrivateTest_97497386.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_75615517.jpg,happy,happy,TAK,99.37,0.0,0.0,0.0,99.37,0.0,0.0,0.63
FER2013/test\happy\PrivateTest_82666275.jpg,happy,happy,TAK,99.15,0.0,0.0,0.0,99.15,0.0,0.02,0.83
FER2013/test\happy\PublicTest_1640397.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_4598337.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_83985015.jpg,happy,happy,TAK,99.91,0.0,0.0,0.0,99.91,0.06,0.0,0.03
FER2013/test\happy\PublicTest_13062825.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_87485263.jpg,happy,neutral,NIE,5.24,3.99,0.01,0.91,5.24,37.93,0.01,51.9
FER2013/test\happy\PrivateTest_16487993.jpg,happy,happy,TAK,99.98,0.02,0.0,0.0,99.98,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_56336763.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_33883054.jpg,happy,angry,NIE,0.03,99.7,0.0,0.12,0.03,0.14,0.0,0.0
FER2013/test\happy\PrivateTest_24344951.jpg,happy,angry,NIE,16.63,83.33,0.0,0.03,16.63,0.01,0.0,0.0
FER2013/test\happy\PrivateTest_23782289.jpg,happy,happy,TAK,64.63,0.0,0.0,0.0,64.63,0.0,0.23,35.13
FER2013/test\happy\PublicTest_41209739.jpg,happy,happy,TAK,99.31,0.13,0.0,0.0,99.31,0.05,0.0,0.51
FER2013/test\happy\PrivateTest_49810785.jpg,happy,happy,TAK,99.44,0.0,0.0,0.0,99.44,0.0,0.0,0.56
FER2013/test\happy\PublicTest_86306334.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_80597508.jpg,happy,happy,TAK,84.43,0.78,0.0,0.0,84.43,0.0,13.66,1.13
FER2013/test\happy\PublicTest_56951379.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_55178437.jpg,happy,happy,TAK,91.31,0.01,0.0,8.29,91.31,0.38,0.0,0.01
FER2013/test\happy\PublicTest_8970135.jpg,happy,happy,TAK,84.54,0.0,0.0,0.0,84.54,0.01,0.44,15.01
FER2013/test\happy\PublicTest_69543442.jpg,happy,surprise,NIE,0.95,9.7,0.0,11.54,0.95,3.99,73.22,0.59
FER2013/test\happy\PublicTest_9386651.jpg,happy,happy,TAK,96.17,0.0,0.0,3.1,96.17,0.0,0.73,0.0
FER2013/test\happy\PrivateTest_40614798.jpg,happy,neutral,NIE,18.72,0.01,0.0,0.0,18.72,0.06,0.0,81.21
FER2013/test\happy\PublicTest_83862042.jpg,happy,happy,TAK,97.82,0.0,0.0,0.0,97.82,0.26,0.07,1.85
FER2013/test\happy\PublicTest_64268372.jpg,happy,sad,NIE,25.25,0.0,0.0,0.01,25.25,69.42,0.0,5.32
FER2013/test\happy\PublicTest_63997638.jpg,happy,happy,TAK,97.88,0.0,0.0,0.0,97.88,0.0,2.12,0.0
FER2013/test\happy\PrivateTest_69289271.jpg,happy,surprise,NIE,32.3,0.04,0.0,4.51,32.3,0.0,62.79,0.36
FER2013/test\happy\PublicTest_99753173.jpg,happy,happy,TAK,99.68,0.0,0.0,0.0,99.68,0.0,0.0,0.32
FER2013/test\happy\PublicTest_5093398.jpg,happy,happy,TAK,99.73,0.0,0.0,0.0,99.73,0.0,0.0,0.27
FER2013/test\happy\PrivateTest_43056060.jpg,happy,happy,TAK,73.0,0.4,0.14,4.69,73.0,6.2,0.02,15.56
FER2013/test\happy\PublicTest_42178721.jpg,happy,happy,TAK,88.33,0.95,0.0,6.93,88.33,0.13,0.21,3.45
FER2013/test\happy\PublicTest_25796473.jpg,happy,happy,TAK,99.62,0.0,0.0,0.0,99.62,0.0,0.0,0.38
FER2013/test\happy\PublicTest_71618622.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_45859307.jpg,happy,happy,TAK,99.99,0.0,0.0,0.0,99.99,0.0,0.0,0.01
FER2013/test\happy\PrivateTest_29012170.jpg,happy,happy,TAK,98.83,0.01,0.0,0.0,98.83,0.0,0.0,1.16
FER2013/test\happy\PublicTest_4411038.jpg,happy,neutral,NIE,37.29,0.51,0.0,6.45,37.29,0.31,9.51,45.92
FER2013/test\happy\PrivateTest_90330103.jpg,happy,happy,TAK,99.66,0.0,0.0,0.0,99.66,0.0,0.0,0.34
FER2013/test\happy\PublicTest_77947604.jpg,happy,happy,TAK,99.42,0.03,0.0,0.34,99.42,0.02,0.18,0.0
FER2013/test\happy\PrivateTest_88404631.jpg,happy,happy,TAK,99.6,0.0,0.0,0.0,99.6,0.0,0.0,0.4
FER2013/test\happy\PublicTest_73276308.jpg,happy,happy,TAK,99.97,0.0,0.0,0.0,99.97,0.0,0.0,0.03
FER2013/test\happy\PublicTest_35396194.jpg,happy,neutral,NIE,0.0,1.45,0.0,0.34,0.0,1.78,11.48,84.95
FER2013/test\happy\PrivateTest_26956718.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_54646331.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PublicTest_78768094.jpg,happy,happy,TAK,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
FER2013/test\happy\PrivateTest_928647.jpg,happy,happy,TAK,96.33,0.0,0.0,0.0,96.33,0.0,0.0,3.67
FER2013/test\happy\PublicTest_12707362.jpg,happy,neutral,NIE,6.58,0.03,0.0,0.0,6.58,0.21,0.01,93.17
FER2013/test\happy\PublicTest_52430874.jpg,happy,happy,TAK,99.94,0.0,0.0,0.03,99.94,0.0,0.01,0.03
